year,currentPop,popFromStart,numHouseholds,averageHouseholdSize,marriageTally,marriagePropNow,divorceTally,shareSingleParents,shareFemaleSingleParent,taxPayers,taxBurden,familyCareRatio,employmentRate,shareWorkingHours,publicSocialCare,costPublicSocialCare,sharePublicSocialCare,costTaxFreeSocialCare,publicChildCare,costPublicChildCare,sharePublicChildCare,costTaxFreeChildCare,totalTaxRevenue,totalPensionRevenue,pensionExpenditure,totalHospitalizationCost,classShare_1,classShare_2,classShare_3,classShare_4,classShare_5,totalInformalChildCare,formalChildCare,childcareIncomeShare,shareInformalChildCare,shareCareGivers,ratioFemaleMaleCarers,shareMaleCarers,shareFemaleCarers,ratioWage,ratioIncome,shareFamilyCarer,share_over20Hours_FamilyCarers,averageHoursOfCare,share_40to64_carers,share_over65_carers,share_10PlusHours_over70,totalSocialCareNeed,totalInformalSocialCare,totalFormalSocialCare,totalUnmetSocialCareNeed,totalSocialCare,share_InformalSocialCare,share_UnmetSocialCareNeed,totalOWSC,shareOWSC,totalCostOWSC,q1_socialCareNeed,q1_informalSocialCare,q1_formalSocialCare,q1_unmetSocialCareNeed,q1_outOfWorkSocialCare,q2_socialCareNeed,q2_informalSocialCare,q2_formalSocialCare,q2_unmetSocialCareNeed,q2_outOfWorkSocialCare,q3_socialCareNeed,q3_informalSocialCare,q3_formalSocialCare,q3_unmetSocialCareNeed,q3_outOfWorkSocialCare,q4_socialCareNeed,q4_informalSocialCare,q4_formalSocialCare,q4_unmetSocialCareNeed,q4_outOfWorkSocialCare,q5_socialCareNeed,q5_informalSocialCare,q5_formalSocialCare,q5_unmetSocialCareNeed,q5_outOfWorkSocialCare,grossDomesticProduct,publicCareToGDP
1877,1309,1342,332,3.9427710843373496,6,0.8527397260273972,7,0.18947368421052632,0.8222222222222222,698,666.8275071633237,0.5989208633093526,0.7220630372492837,0.9619047619047619,160.0,2720.0,0.14388489208633093,0.0,10444.0,62664.0,0.4642603129445235,7354.800000000136,38438.10282263744,25045.728259397296,2398.697924465577,71685.73076026754,0.19444444444444445,0.3904320987654321,0.24228395061728394,0.14506172839506173,0.027777777777777776,8913.0,2677.6638379662945,0.05446287417950985,0.7098598279706912,0.09273570324574962,0.55,0.08463949843260188,0.10060975609756098,0.9132849985682492,0.891957216137691,0.9666666666666667,0.034482758620689655,8.3,0.8,0.0,0,1112.0,498.0,8.0,446.0,506.0,0.9841897233201581,0.4010791366906475,0,0.0,0,456.0,194.0,1.0,269.0,0,400.0,144.0,7.0,169.0,0,80.0,72.0,0,8.0,0,152.0,72.0,0,0.0,0,0.0,0,0,0.0,0,299982.5347120697,0.00906719453721104
1878,1305,1342,332,3.930722891566265,17,0.7699386503067485,8,0.16,0.8333333333333334,755,619.2487417218543,0.6203389830508474,0.6966887417218544,0.9596958174904943,160.0,2720.0,0.13559322033898302,0.0,9824.0,58944.0,0.46941896024464835,6546.144794148331,39300.70503538873,25831.073428073945,2491.203196387045,74694.83327255714,0.20057306590257878,0.4140401146131805,0.22492836676217765,0.1346704871060172,0.025787965616045846,8383.0,2482.138347315725,0.04962070848458885,0.7395024700070572,0.0994236311239193,0.5217391304347826,0.09620991253644315,0.10256410256410256,0.9586228759785344,0.9336450605388072,1.0,0.028985507246376812,8.173913043478262,0.7681159420289855,0.0,0,1180.0,564.0,8.0,448.0,572.0,0.986013986013986,0.37966101694915255,0,0.0,0,508.0,168.0,0,284.0,0,336.0,172.0,8.0,156.0,0,128.0,128.0,0,0.0,0,184.0,96.0,0,8.0,0,0.0,0,0,0.0,0,309385.12973064923,0.008791631331370169
1879,1301,1343,332,3.9186746987951806,10,0.7220630372492837,7,0.16591928251121077,0.8378378378378378,802,545.2224438902743,0.6998567335243553,0.7032418952618454,0.9581560283687943,236.0,4012.0,0.16905444126074498,0.0,9144.0,54864.0,0.47525987525987523,5124.000000000074,40884.0422539646,26937.353860777384,2625.3040351867635,83547.70467488989,0.20264900662251656,0.4105960264900662,0.23973509933774834,0.12317880794701987,0.02384105960264901,6660.0,2027.631734501514,0.037901779371796916,0.7360742705570292,0.11866666666666667,0.5955056179775281,0.09651474530831099,0.14058355437665782,0.9961337742602058,1.0077567039578514,0.9887640449438202,0.03409090909090909,8.224719101123595,0.7078651685393258,0.0,0,1396.0,732.0,9.0,419.0,741.0,0.9878542510121457,0.3001432664756447,0,0.0,0,616.0,316.0,0,332.0,0,436.0,188.0,9.0,79.0,0,128.0,120.0,0,8.0,0,144.0,68.0,0,0.0,0,40.0,40.0,0,0.0,0,325125.0063389516,0.012339869040455725
1880,1302,1346,360,3.6166666666666667,20,0.6888297872340425,9,0.1864801864801865,0.775,858,443.95571095571097,0.7553619302949062,0.6748251748251748,0.9689119170984456,236.0,4012.0,0.1581769436997319,0.0,8516.0,51096.0,0.5073879885605339,4148.40000000005,41208.76318337314,27390.4857528674,2679.7518928790796,86476.57899960488,0.19576059850374064,0.4114713216957606,0.2543640897755611,0.11596009975062344,0.022443890274314215,5261.0,1656.023764148386,0.03011565145035996,0.7360100727476218,0.13125,0.5523809523809524,0.1172069825436409,0.14536340852130325,1.0036592743686885,1.0274350645099273,0.9714285714285714,0.0392156862745098,8.380952380952381,0.6476190476190476,0.0,0,1492.0,880.0,11.0,365.0,891.0,0.9876543209876543,0.24463806970509383,0,0.0,0,812.0,344.0,0,316.0,0,408.0,268.0,11.0,49.0,0,160.0,160.0,0,0.0,0,72.0,72.0,0,0.0,0,16.0,16.0,0,0.0,0,331527.62552239595,0.012101555620525428
1881,1303,1352,381,3.41994750656168,19,0.6734177215189874,8,0.19464720194647203,0.75,902,436.1831485587583,0.7595663265306123,0.6829268292682927,0.9720779220779221,236.0,4012.0,0.15051020408163263,0.0,7544.0,45264.0,0.5373219373219373,3616.8000000000347,42408.43432316408,28480.861853651884,2820.597622159846,89604.31335066278,0.20396270396270397,0.3986013986013986,0.2564102564102564,0.12004662004662005,0.02097902097902098,4289.0,1370.30618403328,0.024375637588932124,0.7274423337856174,0.12075029308323564,0.5631067961165048,0.1048951048951049,0.13679245283018868,1.0107469302675294,1.032599675522931,0.941747572815534,0.061855670103092786,9.12621359223301,0.6504854368932039,0.0,0,1568.0,940.0,14.871745406974739,377.0,954.8717454069747,0.9844254000827763,0.24043367346938777,0,0.0,0,864.0,380.0,0,344.0,0,396.0,268.0,14.871745406974739,33.0,0,180.0,180.0,0,0.0,0,88.0,88.0,0,0.0,0,16.0,16.0,0,0.0,0,346803.62297037104,0.011568506596434151
1882,1299,1354,395,3.288607594936709,24,0.6682464454976303,3,0.18276762402088773,0.7714285714285715,943,496.8996818663839,0.7483183856502242,0.6786850477200425,0.979375,316.0,5372.0,0.17713004484304928,0.0,6688.0,40128.0,0.5460483344219464,2869.2000000000094,42975.23620813406,29589.55994452134,3089.387384178745,100822.0307389601,0.2006651884700665,0.3946784922394678,0.2583148558758315,0.12638580931263857,0.019955654101995565,3908.0,1091.1271733807166,0.01884899717684255,0.7515384615384615,0.11482720178372352,0.5533980582524272,0.10199556541019955,0.12780269058295965,0.9927063923392087,1.0284954660336278,0.912621359223301,0.05319148936170213,9.70873786407767,0.6601941747572816,0.0,0,1784.0,1000.0,18.87656196953793,449.0,1018.876561969538,0.9814731610539272,0.25168161434977576,8.0,0.008,70.6224219922254,944.0,356.0,10.87656196953793,421.0,0,424.0,308.0,8.0,28.0,0,176.0,176.0,0,0.0,8.0,136.0,136.0,0,0.0,0,24.0,24.0,0,0.0,0,358472.95553387766,0.01498578879402331
1883,1300,1365,426,3.051643192488263,25,0.6441441441441441,12,0.1856763925729443,0.8285714285714286,974,504.6566735112936,0.7526260504201681,0.6663244353182751,0.9855161787365178,316.0,5372.0,0.16596638655462181,0.0,5804.0,34824.0,0.5463102409638554,2974.2016274939615,44358.47696371937,30578.49338570536,3502.9113341356024,107886.18170369155,0.19279661016949154,0.3961864406779661,0.2563559322033898,0.13135593220338984,0.023305084745762712,2827.0,1180.7424301638102,0.019505420509166708,0.6750238777459407,0.12205567451820129,0.5614035087719298,0.10822510822510822,0.13559322033898305,0.9954627704883193,1.0183102953184606,0.9210526315789473,0.05714285714285714,9.543859649122806,0.6842105263157895,0.0,0,1904.0,1088.0,27.52030079445432,471.0,1115.5203007944542,0.9753296279997282,0.24737394957983194,0,0.0,0,808.0,336.0,1.0,403.0,0,536.0,392.0,8.0,56.0,0,160.0,158.0,2.0,0.0,0,132.0,116.0,7.0,9.0,0,84.0,70.0,9.52030079445432,3.0,0,367925.7214844804,0.014600773162380272
1884,1303,1373,466,2.796137339055794,25,0.6276595744680851,12,0.187683284457478,0.90625,1003,380.8151545363908,0.8073684210526316,0.6729810568295115,0.9869629629629629,316.0,5372.0,0.1663157894736842,0.0,4820.0,28920.0,0.5423042304230423,2607.6000000000004,45089.712316145386,31094.08133831534,6375.075200887712,104105.51464643003,0.19959058341862845,0.37154554759467756,0.2691914022517912,0.1330603889457523,0.02661207778915046,2964.0,1062.925754694324,0.016833931445927427,0.7010406811731315,0.13463514902363824,0.5419847328244275,0.12371134020618557,0.14549180327868852,1.019806342288302,1.0224762267178575,0.9389312977099237,0.032520325203252036,9.106870229007633,0.5725190839694656,0.05343511450381679,0,1900.0,1193.0,24.03402337091356,366.0,1217.0340233709135,0.9802519708493074,0.19263157894736843,0,0.0,0,844.0,472.0,1.0,283.0,0,536.0,380.0,4.0,72.0,0,292.0,199.0,10.0,3.0,0,116.0,100.0,8.0,8.0,0,32.0,30.0,1.0340233709135607,0.0,0,377510.9321489688,0.01423005148333073
1885,1305,1384,497,2.625754527162978,32,0.6465696465696466,11,0.17522658610271905,0.8620689655172413,1009,465.43111992071357,0.7754491017964071,0.7006937561942518,0.9886845827439887,316.0,5372.0,0.1576846307385229,0.0,4076.0,24456.0,0.513091641490433,2398.799999999993,45557.72577637271,32305.432220991792,9786.585672303108,111651.22235629131,0.20527859237536658,0.36363636363636365,0.270772238514174,0.13294232649071358,0.02737047898338221,2649.0,1019.5731883162035,0.015442451187977177,0.6737029501525941,0.1291913214990138,0.5572519083969466,0.1141732283464567,0.1442687747035573,1.0110429597261774,1.010017532688638,0.8549618320610687,0.07142857142857142,9.236641221374045,0.4961832061068702,0.06870229007633588,0,2004.0,1210.0,28.0,450.0,1238.0,0.9773828756058158,0.2245508982035928,8.0,0.006611570247933884,70.70674514897007,808.0,435.0,12.0,380.0,0,552.0,364.0,0,28.0,4.0,288.0,233.0,13.0,42.0,4.0,104.0,102.0,2.0,0.0,0,32.0,32.0,0,0.0,0,390137.1443916006,0.013769516892264553
1886,1315,1403,520,2.5288461538461537,32,0.6369047619047619,16,0.19596541786743515,0.8529411764705882,1020,436.87960784313725,0.7966666666666666,0.7029411764705882,0.9905160390516039,316.0,5372.0,0.15047619047619043,0.0,3396.0,20376.0,0.481838819523269,2351.807678557045,48517.438382544315,34059.141075587875,12365.510154723075,116020.10565311572,0.2001906577693041,0.3679694947569113,0.2697807435653003,0.1344137273593899,0.027645376549094377,2744.0,998.9530425651111,0.014613532672558573,0.7198321091290661,0.12980769230769232,0.5481481481481482,0.11685823754789272,0.14285714285714285,0.9717933625867848,0.970027614073911,0.8444444444444444,0.10526315789473684,9.874074074074073,0.4888888888888889,0.07407407407407407,0,2100.0,1333.0,23.978145044487732,427.0,1356.9781450444877,0.982329748543075,0.20333333333333334,16.0,0.012003000750187547,174.72876863137736,796.0,448.0,6.0,322.0,0,676.0,412.0,0,28.0,8.0,436.0,353.0,14.0,69.0,8.0,96.0,96.0,0,0.0,0,16.0,16.0,0,8.0,0,406278.6976370064,0.013222450577016629
1887,1335,1427,556,2.4010791366906474,36,0.6472868217054264,16,0.17647058823529413,0.9333333333333333,1025,453.0751219512195,0.7980943738656987,0.697560975609756,0.9928671328671329,236.0,4012.0,0.10707803992740472,0.0,2684.0,16104.0,0.44852941176470584,2433.5999999999935,49088.54095497794,34182.605962304006,16316.636199951054,121853.13420306495,0.1972093023255814,0.36186046511627906,0.2725581395348837,0.13953488372093023,0.02883720930232558,3221.0,990.1352868373694,0.013968184515596564,0.7765188042430087,0.13912231559290383,0.5436241610738255,0.12734082397003746,0.15083798882681565,0.9612295601317391,0.9632371171205112,0.8523489932885906,0.09448818897637795,9.986577181208053,0.4966442953020134,0.0738255033557047,0,2204.0,1488.0,35.0,445.0,1523.0,0.9770190413657256,0.20190562613430127,12.0,0.008064516129032258,130.54058629183277,876.0,482.0,11.0,319.0,0,576.0,464.0,1.0,31.0,8.0,528.0,359.0,10.0,90.0,4.0,168.0,151.0,12.0,5.0,0,24.0,24.0,0,0.0,0,408687.9714007677,0.00981678023517299
1888,1360,1458,576,2.361111111111111,35,0.6542056074766355,12,0.19767441860465115,0.8529411764705882,1036,711.1791505791506,0.7202852614896988,0.7017374517374517,0.9936726272352132,232.0,3944.0,0.09191759112519815,0.0,2008.0,12048.0,0.3664233576642336,2464.9490739913736,48787.63563555891,34488.14095064245,17998.3784462559,143225.12446120035,0.19927536231884058,0.35688405797101447,0.27355072463768115,0.13949275362318841,0.030797101449275364,3626.0,1075.6112834305097,0.015437312698015052,0.7418166939443536,0.14207650273224043,0.5128205128205128,0.13818181818181818,0.145985401459854,0.9499359810458506,0.9506805525842303,0.8141025641025641,0.12598425196850394,9.91025641025641,0.4807692307692308,0.08333333333333333,0,2524.0,1546.0,38.95508756285751,706.0,1584.9550875628574,0.9754219612476479,0.2797147385103011,8.0,0.00517464424320828,86.74766057230546,1140.0,607.0,8.895376114801651,568.0,0,676.0,436.0,7.059711448055859,36.0,0,344.0,227.0,15.0,102.0,0,152.0,151.0,1.0,0.0,0,40.0,37.0,3.0,0.0,0,411822.30432182807,0.00957694607263882
1889,1389,1489,607,2.2883031301482704,24,0.6563071297989032,16,0.20612813370473537,0.8918918918918919,1030,805.4970873786408,0.6974885844748858,0.7252427184466019,0.992235609103079,152.0,2584.0,0.0578386605783866,0.0,1652.0,9912.0,0.29249291784702547,2754.1017869348707,49348.44254860792,35482.08133198977,22674.525582317132,150477.21077957496,0.20177777777777778,0.35288888888888886,0.26844444444444443,0.14666666666666667,0.030222222222222223,4913.0,1087.5080315654736,0.014455788088554954,0.8085911784068466,0.1433659839715049,0.5527950310559007,0.12834224598930483,0.1583629893238434,0.9544302743519285,0.922583098799505,0.8136645962732919,0.1297709923664122,10.136645962732919,0.42857142857142855,0.12422360248447205,0.6666666666666666,2628.0,1632.0,48.57423981184108,795.0,1680.5742398118412,0.9710966414567442,0.3025114155251142,12.0,0.007352941176470588,66.81237648854047,1156.0,516.0,12.574239811841082,566.0,0,784.0,556.0,1.0,151.0,4.0,536.0,356.0,23.0,78.0,8.0,144.0,144.0,0,0.0,0,64.0,64.0,0,0.0,0,421714.0957535622,0.006127374033781448
1890,1406,1517,623,2.2568218298555376,36,0.6565295169946332,17,0.22727272727272727,0.825,1030,923.0287378640777,0.6675182481751825,0.7233009708737864,0.9891275167785235,76.0,1292.0,0.027737226277372296,0.0,1620.0,9720.0,0.2515527950310559,2970.421930280577,52342.29379327962,36042.39046998646,25846.572033969107,159113.25794210605,0.1996512641673932,0.3469921534437663,0.26939843068875324,0.15431560592850915,0.02964254577157803,5521.0,1196.0216925296425,0.015372936756511977,0.7563013698630137,0.14524647887323944,0.5454545454545454,0.13345195729537365,0.156794425087108,0.9574605114057784,0.9369419046746256,0.7696969696969697,0.12598425196850394,10.181818181818182,0.40606060606060607,0.13333333333333333,0.7142857142857143,2740.0,1680.0,70.91691142265279,911.0,1750.916911422653,0.9594972719950305,0.33248175182481754,8.0,0.004761904761904762,85.61477802701847,976.0,487.0,17.357528263778462,546.0,0,828.0,660.0,1.0,167.0,4.0,544.0,408.0,38.0,98.0,4.0,160.0,87.0,4.445602609478007,100.0,0,40.0,30.0,9.113780549396312,0.0,0,429890.12933647045,0.0030054190869517857
1891,1430,1547,640,2.234375,45,0.6748251748251748,22,0.25842696629213485,0.8695652173913043,1023,1092.5665689149562,0.6371951219512195,0.7165200391006843,0.9881309686221009,76.0,1292.0,0.0257452574525745,0.0,2268.0,13608.0,0.2773972602739726,3669.189779958867,50913.00565100983,35218.68098734468,30541.729569522515,173660.96675429842,0.2032590051457976,0.3481989708404803,0.26500857632933106,0.1509433962264151,0.032590051457975985,6187.0,1504.3292622527622,0.019834270146254433,0.7615706548498277,0.14913793103448275,0.5433526011560693,0.1381118881118881,0.1598639455782313,0.9310719420884419,0.9073373860161931,0.7456647398843931,0.11627906976744186,9.907514450867051,0.37572254335260113,0.13872832369942195,0.7142857142857143,2952.0,1714.0,89.29461330528832,1071.0,1803.2946133052883,0.9504825153657955,0.3628048780487805,16.0,0.009334889148191364,155.40232521041358,912.0,420.0,21.529300575267136,489.0,0,920.0,631.0,2.0,211.0,0,660.0,452.0,53.0,155.0,8.0,160.0,88.0,3.5974865875214164,102.0,8.0,124.0,67.0,18.167826142499766,114.0,0,419825.04200483754,0.0030774724485946995
